  I  J
------
  1  4
  3  4
  5  4
  7  4
  9  4
 11  4
 13  4
 15  4
 17  4
 19  4
 21  4
 23  4
 25  4
 27  4
 29  4
 31  4
 33  4
 35  4
 37  4
 39  4
 41  4
 43  4
 45  4
 47  4
 49  4
 51  4
 53  4
 55  4
 57  4
 59  4
 61  4
 63  4
 65  4
 67  4
 69  4
 71  4
 73  4
 75  4
 77  4
 79  4
 81  4
 83  4
 85  4
 87  4
 89  4
 91  4
 93  4
 95  4
  1  6
  3  6
  5  6
  7  6
  9  6
 11  6
 13  6
 15  6
 17  6
 19  6
 21  6
 23  6
 25  6
 27  6
 29  6
 31  6
 33  6
 35  6
 37  6
 39  6
 41  6
 43  6
 45  6
 47  6
 49  6
 51  6
 53  6
 55  6
 57  6
 59  6
 61  6
 63  6
 65  6
 67  6
 69  6
 71  6
 73  6
 75  6
 77  6
 79  6
 81  6
 83  6
 85  6
 87  6
 89  6
 91  6
 93  6
 95  6
  1  8
  3  8
  5  8
  7  8
  9  8
 11  8
 13  8
 15  8
 17  8
 19  8
 21  8
 23  8
 25  8
 27  8
 29  8
 31  8
 33  8
 35  8
 37  8
 39  8
 41  8
 43  8
 45  8
 47  8
 49  8
 51  8
 53  8
 55  8
 57  8
 59  8
 61  8
 63  8
 65  8
 67  8
 69  8
 71  8
 73  8
 75  8
 77  8
 79  8
 81  8
 83  8
 85  8
 87  8
 89  8
 91  8
 93  8
 95  8
  1 10
  3 10
  5 10
  7 10
  9 10
 11 10
 13 10
 15 10
 17 10
 19 10
 21 10
 23 10
 25 10
 27 10
 29 10
 31 10
 33 10
 35 10
 37 10
 39 10
 41 10
 43 10
 45 10
 47 10
 49 10
 51 10
 53 10
 55 10
 57 10
 59 10
 61 10
 63 10
 65 10
 67 10
 69 10
 71 10
 73 10
 75 10
 77 10
 79 10
 81 10
 83 10
 85 10
 87 10
 89 10
 91 10
 93 10
 95 10
  1 12
  3 12
  5 12
  7 12
  9 12
 11 12
 13 12
 15 12
 17 12
 19 12
 21 12
 23 12
 25 12
 27 12
 29 12
 31 12
 33 12
 35 12
 37 12
 39 12
 41 12
 43 12
 45 12
 47 12
 49 12
 51 12
 53 12
 55 12
 57 12
 59 12
 61 12
 63 12
 65 12
 67 12
 69 12
 71 12
 73 12
 75 12
 77 12
 79 12
 81 12
 83 12
 85 12
 87 12
 89 12
 91 12
 93 12
 95 12
  1 14
  3 14
  5 14
  7 14
  9 14
 11 14
 13 14
 15 14
 17 14
 19 14
 21 14
 23 14
 25 14
 27 14
 29 14
 31 14
 33 14
 35 14
 37 14
 39 14
 41 14
 43 14
 45 14
 47 14
 49 14
 51 14
 53 14
 55 14
 57 14
 59 14
 61 14
 63 14
 65 14
 67 14
 69 14
 71 14
 73 14
 75 14
 77 14
 79 14
 81 14
 83 14
 85 14
 87 14
 89 14
 91 14
 93 14
 95 14
  1 16
  3 16
  5 16
  7 16
  9 16
 11 16
 13 16
 15 16
 17 16
 19 16
 21 16
 23 16
 25 16
 27 16
 29 16
 31 16
 33 16
 35 16
 37 16
 39 16
 41 16
 43 16
 45 16
 47 16
 49 16
 51 16
 53 16
 55 16
 57 16
 59 16
 61 16
 63 16
 65 16
 67 16
 69 16
 71 16
 73 16
 75 16
 77 16
 79 16
 81 16
 83 16
 85 16
 87 16
 89 16
 91 16
 93 16
 95 16
  1 18
  3 18
  5 18
  7 18
  9 18
 11 18
 13 18
 15 18
 17 18
 19 18
 21 18
 23 18
 25 18
 27 18
 29 18
 31 18
 33 18
 35 18
 37 18
 39 18
 41 18
 43 18
 45 18
 47 18
 49 18
 51 18
 53 18
 55 18
 57 18
 59 18
 61 18
 63 18
 65 18
 67 18
 69 18
 71 18
 73 18
 75 18
 77 18
 79 18
 81 18
 83 18
 85 18
 87 18
 89 18
 91 18
 93 18
 95 18
  1 20
  3 20
  5 20
  7 20
  9 20
 11 20
 13 20
 15 20
 17 20
 19 20
 21 20
 23 20
 25 20
 27 20
 29 20
 31 20
 33 20
 35 20
 37 20
 39 20
 41 20
 43 20
 45 20
 47 20
 49 20
 51 20
 53 20
