  I  J
------
  1  4
  6  4
 11  4
 16  4
 21  4
 26  4
 31  4
 36  4
 41  4
 46  4
 51  4
 56  4
 61  4
 66  4
 71  4
 76  4
 81  4
 86  4
 91  4
 96  4
  1  9
  6  9
 11  9
 16  9
 21  9
 26  9
 31  9
 36  9
 41  9
 46  9
 51  9
 56  9
 61  9
 66  9
 71  9
 76  9
 81  9
 86  9
 91  9
 96  9
  1 14
  6 14
 11 14
 16 14
 21 14
 26 14
 31 14
 36 14
 41 14
 46 14
 51 14
 56 14
 61 14
 66 14
 71 14
 76 14
 81 14
 86 14
 91 14
 96 14
  1 19
  6 19
 11 19
 16 19
 21 19
 26 19
 31 19
 36 19
 41 19
 46 19
 51 19
 56 19
 61 19
 66 19
 71 19
 76 19
 81 19
 86 19
 91 19
 96 19
  1 24
  6 24
 11 24
 16 24
 21 24
 26 24
 31 24
 36 24
 41 24
 46 24
 51 24
 56 24
 61 24
 66 24
 71 24
 76 24
 81 24
 86 24
 91 24
 96 24
  1 29
  6 29
 11 29
 16 29
 21 29
 26 29
 31 29
 36 29
 41 29
 46 29
 51 29
 56 29
 61 29
 66 29
 71 29
 76 29
 81 29
 86 29
 91 29
 96 29
  1 34
  6 34
 11 34
 16 34
 21 34
 26 34
 31 34
 36 34
 41 34
 46 34
 51 34
 56 34
 61 34
 66 34
 71 34
 76 34
 81 34
 86 34
 91 34
 96 34
  1 39
  6 39
 11 39
 16 39
 21 39
 26 39
 31 39
 36 39
 41 39
 46 39
 51 39
 56 39
 61 39
 66 39
 71 39
 76 39
 81 39
 86 39
 91 39
 96 39
  1 44
  6 44
 11 44
 16 44
 21 44
 26 44
 31 44
 36 44
 41 44
 46 44
 51 44
 56 44
 61 44
 66 44
 71 44
 76 44
 81 44
 86 44
 91 44
 96 44
